beforeCluster,I want to
14,As an Applicant I want to Complete Building Development Project  so that I can receive any posted bond and or obtain occupancy 
14,As a Planning Staff member I want to Conduct and Track Plan Amendments and Planning Studies  so that I can record work in process  outcome  and location-based information related to the Plan s  
14,As a Planning Staff member I want to Evaluate Consistency with the Comprehensive Plan  so that I can complete my required review of a plan set and or application 
14,As a Plan Review Staff Supervisor I want to Manage Plan Reviewer Workload  so that I can monitor and effectively adjust workload as necessary and ensure service levels are met
15,As a Plan Review Staff Member I want to Review the Code Modifications submitted by the Applicant  so that I can review the request and if approved  associate it with the appropriate project 
15,As a County Staff Member I want to create a custom query report outside of the common querying reporting functionality  so that I can fulfill a request 
16,As a Zoning Staff member I want to Issue the Zoning-Related Permits  so that I can satisfy an Applicant's request for service that has proven to be eligible and in compliance with the Zoning Ordinance 
16,As a Development Staff member I want to Issue a Development-related Permit  so that I can grant the request to the Applicant to begin work
17,As a Staff member I want to Manage Bonds  so that I can track and manage bonds throughout the lifecycle of the project until release 
18,As a Customer I want to Request Inspection  so that a County inspector is assigned to perform an inspection of my project 
18,As anInspection Staff member  I want to Create an Inspection  so that I can schedule and assign the inspection 
18,As anInspection Staff Supervisor  I want to Assign Inspections  so that I can make sure the appropriate Inspector receives the work 
18,As anInspector  I want to Conduct Inspections  so that I can validate Customer compliance with code and regulations and provide results of the inspection to the Customer 
18,As anInspection Supervisor  I want to Manage Inspector Workload  so that I can meet service level and quality requirements 
19,As a Staff member I want to Record an Internal Note  so that I can share information with other Staff collaborating on the record 
19,As an Enforcement Staff member I want to Issue a Notice of Violation  so that I can provide formal communication to the responsible party 
19,As a Staff member I want to Send or Post Citations and Fines  so that I can successfully send the Notice Of Violation document to the property owner and log information about the action 
20,As a Staff member I want to create each condo unit  so that I can associate it to the child parcel and address after the condominiums are recorded in the system 
20,As a Technical Staff member I want to update the GIS Property Management  so that I can successfully update the transactional Parcel Pin to reference the GIS layer where the Split or Merged Parcel Pin exists 
